a,c,q,d,Correct,Wrong,Non-verifiable
http://www.worldkg.org/resource/4982336829,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4982336829,Place de la Nation - Taillebourg,yes,,
http://www.worldkg.org/resource/5616554425,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5616554425,Blue Bike,yes,,
http://www.worldkg.org/resource/326099436,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/326099436,Moquechien,yes,,
http://www.worldkg.org/resource/7861182113,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7861182113,Domplatz,yes,,
http://www.worldkg.org/resource/3212625388,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3212625388,P.I. de Douai,yes,,
http://www.worldkg.org/resource/7248379851,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7248379851,Alexander Fleming - Belvédère,yes,,
http://www.worldkg.org/resource/2279282604,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2279282604,Pont de Lodi - Dauphine,yes,,
http://www.worldkg.org/resource/1762418452,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1762418452,Zentrum Ost/Humboldtring,yes,,
http://www.worldkg.org/resource/3838673065,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3838673065,Chamalières Mairie,yes,,
http://www.worldkg.org/resource/780811613,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/780811613,France vélo,,,Non-verifiable
http://www.worldkg.org/resource/2900298141,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2900298141,Witschorke,,,Non-verifiable
http://www.worldkg.org/resource/2404912785,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2404912785,Fahrradverleih & Reparatur Jochen Dethlefs,yes,,
http://www.worldkg.org/resource/4105598075,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4105598075,Neuperlach Süd,yes,,
http://www.worldkg.org/resource/5679195372,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5679195372,Place de la Nation - Charonne,yes,,
http://www.worldkg.org/resource/355958591,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/355958591,Place Carnot,yes,,
http://www.worldkg.org/resource/3429511451,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3429511451,Heidelberg Neuenheim - Kußmaulstraße,yes,,
http://www.worldkg.org/resource/7369001595,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7369001595,Louis le Grand - Italiens,yes,,
http://www.worldkg.org/resource/7803550701,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7803550701,Pehl,,,Non-verifiable
http://www.worldkg.org/resource/873543873,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/873543873,Breams Buildings,yes,,
http://www.worldkg.org/resource/3647035807,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3647035807,Outdoor Freizeit,yes,,
http://www.worldkg.org/resource/6429990756,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6429990756,Bréa - Raspail,yes,,
http://www.worldkg.org/resource/1420953674,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1420953674,U Wandsbek Markt / Wandsbeker Marktstraße,yes,,
http://www.worldkg.org/resource/4804582149,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4804582149,Fichtelrad,yes,,
http://www.worldkg.org/resource/7351630488,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7351630488,Bir-Hakeim,yes,,
http://www.worldkg.org/resource/848003163,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/848003163,Tower Gardens,yes,,
http://www.worldkg.org/resource/7366918325,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7366918325,Square Victor Basch,yes,,
http://www.worldkg.org/resource/1796384188,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1796384188,metropolradruhr,yes,,
http://www.worldkg.org/resource/442516710,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/442516710,Toms Bike Center,yes,,
http://www.worldkg.org/resource/7688163797,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7688163797,Perle,yes,,
http://www.worldkg.org/resource/8667733501,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/8667733501,Bike and Ride Box Höchenschwand bei Touristinfo,yes,,
http://www.worldkg.org/resource/363912580,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/363912580,Desbals Mont Dore,yes,,
http://www.worldkg.org/resource/5470835633,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5470835633,Pierre Joseph Desault,yes,,
http://www.worldkg.org/resource/1818789627,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1818789627,Ford Road,yes,,
http://www.worldkg.org/resource/6437112088,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6437112088,Quatre Vents - Carrefour de l'Odéon,yes,,
http://www.worldkg.org/resource/2355772166,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2355772166,Friedrich-Ebert-Platz,yes,,
http://www.worldkg.org/resource/262791157,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/262791157,Berliner Platz / Breitscheidstraße,yes,,
http://www.worldkg.org/resource/5571881319,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5571881319,Merseburger Straße,yes,,
http://www.worldkg.org/resource/7300776573,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7300776573,45 - Normandie Niémen,yes,,
http://www.worldkg.org/resource/6815964329,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6815964329,Bahnhof Süd Lohhof,yes,,
http://www.worldkg.org/resource/5596257214,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5596257214,Square d'Anvers,yes,,
http://www.worldkg.org/resource/5659380118,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5659380118,Imperial Wharf Station,yes,,
http://www.worldkg.org/resource/6433792110,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6433792110,Gravelle - Route du Bac,yes,,
http://www.worldkg.org/resource/2031052101,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2031052101,Dr Crank's Bike Shack,yes,,
http://www.worldkg.org/resource/4456940518,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4456940518,Riverlight South,yes,,
http://www.worldkg.org/resource/7236635407,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7236635407,Sea Bike And Sun,yes,,
http://www.worldkg.org/resource/8789452694,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/8789452694,Cycland,yes,,
http://www.worldkg.org/resource/4541940735,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4541940735,Call a Bike,yes,,
http://www.worldkg.org/resource/7929068096,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7929068096,Paul-Ehrlich-Straße / Asklepios-Klinik Altona,yes,,
http://www.worldkg.org/resource/2450581971,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2450581971,Werner-Otto-Straße / OTTO Group,yes,,
http://www.worldkg.org/resource/1012775609,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1012775609,Dickens Square,yes,,
http://www.worldkg.org/resource/3750681028,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3750681028,Sandilands Road,yes,,
http://www.worldkg.org/resource/5655597962,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5655597962,Hôtel de Ville - Pont d'Arcole,yes,,
http://www.worldkg.org/resource/5891488169,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5891488169,Abraham-Lincoln-Park,yes,,
http://www.worldkg.org/resource/380451079,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/380451079,Madeleine,yes,,
http://www.worldkg.org/resource/7369043455,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7369043455,Pereire - Saussure,yes,,
http://www.worldkg.org/resource/326091931,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/326091931,Boucherie,yes,,
http://www.worldkg.org/resource/7441503578,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7441503578,Alexandre Dumas - Voltaire,yes,,
http://www.worldkg.org/resource/869361768,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/869361768,Little Argyll Street,yes,,
http://www.worldkg.org/resource/1442749540,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1442749540,Rue Bonte Pollet,yes,,
http://www.worldkg.org/resource/2335457504,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2335457504,Grands Moulins de Pantin,yes,,
http://www.worldkg.org/resource/6520968124,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6520968124,Wiesentfelser Straße 53,yes,,
http://www.worldkg.org/resource/3551666625,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3551666625,Granby Street,yes,,
http://www.worldkg.org/resource/5376613066,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5376613066,Presqu'île - Bibliothèque,yes,,
http://www.worldkg.org/resource/5273526518,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/5273526518,Storey's Gate,yes,,
http://www.worldkg.org/resource/6789707475,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6789707475,InselRadGeber,yes,,
http://www.worldkg.org/resource/3854338498,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3854338498,U Alter Teichweg / Nordschleswiger Straße,yes,,
http://www.worldkg.org/resource/4997427713,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4997427713,E-Bike-Mietstation,yes,,
http://www.worldkg.org/resource/7720065192,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7720065192,PEM,yes,,
http://www.worldkg.org/resource/617295944,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/617295944,Vichy Rosalie,yes,,
http://www.worldkg.org/resource/1973931531,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1973931531,États Unis Ferry,yes,,
http://www.worldkg.org/resource/764042161,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/764042161,S Veddel / Wilhelmsburger Platz,yes,,
http://www.worldkg.org/resource/1438314974,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1438314974,Saint-Maur,yes,,
http://www.worldkg.org/resource/4806984752,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4806984752,mica fun bike,yes,,
http://www.worldkg.org/resource/1973931412,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1973931412,Boulevard Montplaisir - Canal,yes,,
http://www.worldkg.org/resource/1851931849,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1851931849,Brotteaux / Vauban,yes,,
http://www.worldkg.org/resource/7688163860,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7688163860,Beatrix,yes,,
http://www.worldkg.org/resource/8320664483,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/8320664483,Велопрокат,,,Non-verifiable
http://www.worldkg.org/resource/7688163853,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7688163853,Wilma,yes,,
http://www.worldkg.org/resource/1478786728,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1478786728,Diakonie-Kliniken,yes,,
http://www.worldkg.org/resource/2511371465,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2511371465,Station 99,yes,,
http://www.worldkg.org/resource/2732736184,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2732736184,Rothan Cycles,yes,,
http://www.worldkg.org/resource/2291953162,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/2291953162,Bei den Kirchhöfen / St. Petersburger Straße,yes,,
http://www.worldkg.org/resource/7369032824,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7369032824,Place Saint-Ferdinand,yes,,
http://www.worldkg.org/resource/1320322986,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1320322986,Capitainerie,yes,,
http://www.worldkg.org/resource/957251375,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/957251375,Schloesing Teisseire,yes,,
http://www.worldkg.org/resource/7688108967,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7688108967,FiFFi,yes,,
http://www.worldkg.org/resource/7366564816,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/7366564816,Bruant - Vincent Auriol,yes,,
http://www.worldkg.org/resource/492887889,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/492887889,Forest Leisure Cycling,yes,,
http://www.worldkg.org/resource/8728549959,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/8728549959,Barmherzige Schwestern,yes,,
http://www.worldkg.org/resource/1880663690,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1880663690,Usedom-Rad,yes,,
http://www.worldkg.org/resource/857051575,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/857051575,Bank of England Museum,yes,,
http://www.worldkg.org/resource/1557431096,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1557431096,Facultés,yes,,
http://www.worldkg.org/resource/3505058078,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/3505058078,AKTVIT - Fahrradträger für Anhängerkupplung (Vermietung),yes,,
http://www.worldkg.org/resource/1595462311,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1595462311,Domstraße/Willy-Brandt-Straße,yes,,
http://www.worldkg.org/resource/300790066,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/300790066,Böheimstraße / Burgstallstraße,yes,,
http://www.worldkg.org/resource/6490848101,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6490848101,Pernety - Raymond Losserand,yes,,
http://www.worldkg.org/resource/1923782825,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1923782825,Fahrrad Verleih,yes,,
http://www.worldkg.org/resource/6693426353,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/6693426353,frelo Hauptbahnhof,yes,,
http://www.worldkg.org/resource/1719638539,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/1719638539,Fahradverleih Casa-Atlantis,yes,,
http://www.worldkg.org/resource/4344183818,http://www.worldkg.org/schema/BicycleRental,https://www.openstreetmap.org/node/4344183818,Deutsches Museum,yes,,
